card_no,year,month,sales,transactions,items
14423,2010,1,0,3,16
19414,2010,1,0,7,79
15550,2010,1,0,4,124
13787,2010,1,-2.84E-14,6,130
3,2010,1,-5.01E-08,22226,237021
21636,2010,1,-7.11E-14,8,144
12724,2010,1,1.42E-14,4,148
15897,2010,1,-2.13E-14,5,80
50837,2010,1,-4.97E-14,7,99
13731,2010,1,0,2,16
50169,2010,1,-2.13E-14,6,106
14073,2010,1,1.42E-14,2,36
24626,2010,1,-2.13E-14,4,140
50129,2010,1,7.11E-15,6,116
24444,2010,1,-1.78E-15,8,75
10021,2010,1,1.24E-14,7,70
23372,2010,1,-7.82E-14,17,207
10638,2010,1,1.78E-14,10,121
18990,2010,1,2.84E-14,16,137
30493,2010,1,1.78E-15,1,9
18830,2010,1,7.11E-15,3,50
23086,2010,1,1.78E-15,6,83
23276,2010,1,-1.42E-14,6,187
48307,2010,1,-3.55E-15,2,14
13853,2010,1,0,1,8
18600,2010,1,6.22E-15,4,37
10442,2010,1,2.40E-14,9,73
44402,2010,1,1.35E-13,1,54
13024,2010,1,-2.84E-14,3,116
17460,2010,1,2.42E-13,7,170
20822,2010,1,-2.13E-14,12,286
36589,2010,1,-9.95E-14,6,108
20015,2010,1,4.26E-13,26,335
20074,2010,1,-7.28E-11,540,7400
14856,2010,1,5.68E-14,5,128
14778,2010,1,5.68E-14,35,410
11573,2010,1,1.42E-14,8,97
17257,2010,1,-3.38E-14,18,248
24682,2010,1,-5.68E-14,2,68
14017,2010,1,-5.68E-14,9,127
13223,2010,1,5.33E-15,5,31
15037,2010,1,5.40E-13,5,201
10506,2010,1,3.91E-14,17,193
10029,2010,1,0,13,169
42582,2010,1,2.84E-14,3,120
13144,2010,1,-5.68E-14,1,75
14576,2010,1,-7.82E-14,17,165
16023,2010,1,-8.53E-14,5,107
16519,2010,1,6.25E-13,10,393
12460,2010,1,5.68E-14,30,405
16478,2010,1,4.26E-14,4,184
16580,2010,1,1.99E-13,9,221
22299,2010,1,1.24E-14,10,156
12247,2010,1,6.57E-14,16,136
42723,2010,1,2.13E-14,7,84
14326,2010,1,-2.84E-14,11,207
47296,2010,1,-1.63E-13,8,218
21660,2010,1,-2.27E-13,2,114
18162,2010,1,2.70E-13,10,287
47868,2010,1,-1.42E-14,12,144
17537,2010,1,-6.39E-14,21,242
13652,2010,1,4.26E-14,5,160
23476,2010,1,-3.20E-14,7,73
20386,2010,1,1.14E-13,6,151
15253,2010,1,-7.11E-15,9,196
22333,2010,1,0,5,149
15800,2010,1,3.41E-13,11,216
24208,2010,1,2.35E-14,9,110
12474,2010,1,4.26E-14,6,110
15453,2010,1,1.07E-14,14,197
12848,2010,1,2.70E-13,12,377
13972,2010,1,1.42E-14,5,122
19419,2010,1,1.24E-13,11,188
22220,2010,1,5.68E-14,40,472
21944,2010,1,-2.84E-14,5,70
11976,2010,1,1.78E-14,11,186
12495,2010,1,0,5,55
10498,2010,1,4.22E-15,4,48
17046,2010,1,-2.13E-14,1,56
20221,2010,1,-3.55E-15,4,49
18580,2010,1,0,6,171
11089,2010,1,2.84E-14,10,106
22469,2010,1,2.13E-14,3,52
14568,2010,1,5.68E-14,16,259
20266,2010,1,5.33E-15,2,23
17098,2010,1,-8.22E-15,6,124
23543,2010,1,-2.84E-14,2,42
25021,2010,1,3.55E-14,4,127
50430,2010,1,-2.84E-14,8,122
14218,2010,1,1.71E-13,6,237
50261,2010,1,0,1,26
21804,2010,1,7.11E-15,3,55
21382,2010,1,1.42E-14,8,138
15387,2010,1,2.49E-14,12,114
12453,2010,1,0,18,243
19510,2010,1,-7.11E-14,6,140
11894,2010,1,-9.95E-14,5,103
16888,2010,1,0,5,74
42561,2010,1,-2.84E-14,2,68
24355,2010,1,-4.26E-14,5,144
10270,2010,1,-2.13E-14,6,73
50815,2010,1,-7.11E-15,4,56
25836,2010,1,-1.42E-14,4,83
10429,2010,1,4.26E-14,7,95
50307,2010,1,2.84E-14,3,94
36509,2010,1,4.26E-14,7,157
13687,2010,1,1.42E-14,11,163
38898,2010,1,-4.26E-14,4,89
20883,2010,1,-7.11E-14,10,150
11391,2010,1,2.84E-14,2,52
13251,2010,1,1.42E-13,12,321
14405,2010,1,-1.49E-13,4,167
23534,2010,1,1.14E-13,15,185
12838,2010,1,0,1,28
50583,2010,1,7.11E-14,3,107
12796,2010,1,7.11E-15,2,26
20484,2010,1,5.12E-13,6,233
23170,2010,1,-1.19E-12,156,1810
21011,2010,1,1.49E-13,17,313
50222,2010,1,7.11E-15,2,22
20434,2010,1,-1.42E-14,2,57
10587,2010,1,0,1,27
11968,2010,1,2.27E-13,13,252
10291,2010,1,0,4,108
16819,2010,1,-1.56E-13,8,195
12008,2010,1,3.55E-15,2,37
12487,2010,1,0,4,59
44568,2010,1,-7.11E-14,4,173
51155,2010,1,2.84E-14,5,80
11710,2010,1,-2.84E-14,10,192
16694,2010,1,0,1,12
18317,2010,1,1.78E-14,3,39
22489,2010,1,8.53E-14,13,218
34919,2010,1,0,1,27
24875,2010,1,2.27E-13,10,179
14242,2010,1,0,4,81
38642,2010,1,-9.95E-14,3,100
17032,2010,1,1.28E-13,49,457
12333,2010,1,-1.78E-14,6,67
50365,2010,1,-1.42E-14,7,106
21259,2010,1,3.02E-14,19,167
12395,2010,1,-9.95E-14,4,111
20220,2010,1,7.82E-14,7,216
11465,2010,1,0,5,91
15677,2010,1,1.07E-14,10,101
24088,2010,1,5.33E-15,4,69
18659,2010,1,8.88E-16,1,14
42889,2010,1,-1.42E-14,6,169
12870,2010,1,5.33E-15,4,60
15917,2010,1,4.97E-14,2,58
51066,2010,1,-1.07E-14,4,53
10342,2010,1,7.11E-15,6,143
12281,2010,1,3.55E-15,5,41
10095,2010,1,-7.46E-14,15,366
25120,2010,1,1.07E-14,7,64
11066,2010,1,-2.84E-14,5,89
12341,2010,1,-5.76E-13,32,357
19170,2010,1,-1.78E-15,2,115
19792,2010,1,-7.11E-15,1,14
51061,2010,1,5.33E-15,6,72
16077,2010,1,0,8,108
14660,2010,1,0,4,47
24162,2010,1,2.13E-14,2,28
47857,2010,1,5.33E-15,4,59
50537,2010,1,7.11E-15,6,66
23967,2010,1,-1.28E-13,4,153
23945,2010,1,-1.42E-14,7,128
11174,2010,1,-9.24E-14,7,119
19593,2010,1,-2.13E-14,6,107
12813,2010,1,-2.13E-14,2,45
12754,2010,1,-7.11E-14,2,103
18976,2010,1,7.11E-15,4,94
17414,2010,1,-4.26E-14,1,46
13746,2010,1,1.42E-14,8,143
11105,2010,1,1.42E-14,1,20
22954,2010,1,-6.04E-14,12,121
14379,2010,1,-3.55E-15,3,51
11333,2010,1,-7.11E-14,7,143
11226,2010,1,-8.53E-14,1,72
15263,2010,1,-3.55E-14,5,107
44291,2010,1,-8.53E-14,13,136
18796,2010,1,7.11E-15,4,26
50418,2010,1,-8.62E-14,15,218
12372,2010,1,5.68E-14,6,152
18085,2010,1,2.13E-14,6,79
23868,2010,1,-3.55E-15,7,56
10216,2010,1,2.84E-14,3,48
11824,2010,1,-1.42E-14,8,94
14536,2010,1,-3.55E-15,1,11
22741,2010,1,-4.26E-14,1,56
47777,2010,1,4.62E-14,5,147
20584,2010,1,0,7,147
14530,2010,1,1.95E-14,4,88
50991,2010,1,5.77E-15,1,9
14719,2010,1,-8.88E-16,2,49
17893,2010,1,-4.26E-14,3,63
18741,2010,1,-1.78E-15,6,54
20586,2010,1,-3.55E-15,1,22
42778,2010,1,2.49E-14,9,138
50489,2010,1,8.88E-16,2,22
12090,2010,1,-1.85E-13,9,175
51029,2010,1,8.88E-16,8,72
21619,2010,1,1.42E-14,6,98
10490,2010,1,2.84E-14,4,60
11218,2010,1,2.13E-14,8,140
21116,2010,1,1.42E-14,3,30
50066,2010,1,0,5,45
11295,2010,1,-2.20E-13,3,192
19389,2010,1,2.84E-14,1,34
16710,2010,1,-1.42E-14,3,51
18361,2010,1,-2.84E-14,10,153
42872,2010,1,0,3,22
17844,2010,1,-1.35E-13,15,296
21433,2010,1,5.33E-14,7,199
10579,2010,1,5.33E-15,8,71
12719,2010,1,-1.07E-14,6,83
17387,2010,1,0,3,39
20565,2010,1,0,5,92
12370,2010,1,3.55E-15,4,36
13379,2010,1,-1.42E-14,2,44
10886,2010,1,6.22E-14,5,110
50264,2010,1,-3.55E-15,2,40
14369,2010,1,7.11E-15,4,86
16790,2010,1,7.11E-15,1,15
11812,2010,1,0,9,199
20469,2010,1,1.78E-14,3,42
11038,2010,1,6.39E-14,14,154
15124,2010,1,3.55E-14,5,90
24802,2010,1,1.42E-14,7,85
14258,2010,1,7.11E-15,4,65
10362,2010,1,2.13E-14,2,57
10693,2010,1,-1.42E-14,6,91
14644,2010,1,-1.42E-14,7,83
21846,2010,1,-7.11E-15,3,38
13429,2010,1,-8.53E-14,8,122
23932,2010,1,0,16,140
23139,2010,1,4.97E-14,7,116
14597,2010,1,-7.11E-15,2,44
21935,2010,1,7.11E-15,1,22
47852,2010,1,2.84E-14,7,123
17920,2010,1,7.11E-15,6,81
11235,2010,1,1.78E-14,10,90
12368,2010,1,0,3,34
15999,2010,1,-2.13E-14,3,65
22539,2010,1,7.11E-15,1,31
13681,2010,1,2.13E-13,4,153
20284,2010,1,-1.42E-14,2,26
24752,2010,1,-1.24E-14,4,48
